fsm, mapping, replan, sfc, mpc, df, total, 
1.97e-06, 0.0167581, 0, 0, 0.00045025, 1.1333e-05, 0.000463981, 
3.263e-06, 0.00542426, 0, 0, 0.000422355, 1.574e-06, 0.000427511, 
2.808e-06, 0, 0, 0, 0.000320501, 1.235e-06, 0.000324703, 
1.82e-06, 0, 0, 0, 0.000328485, 9.81e-07, 0.000331473, 
1.2e-06, 0, 0, 0, 0.000321631, 1.244e-06, 0.000324283, 
2.789e-06, 0, 0, 0, 0.000563739, 2.467e-06, 0.000569411, 
4.061e-06, 0, 0, 0, 0.000919872, 3.312e-06, 0.00092775, 
3.713e-06, 0, 0, 0, 0.000818116, 2.573e-06, 0.000824837, 
3.355e-06, 0, 0, 0, 0.000619739, 1.561e-06, 0.000625026, 
3.202e-06, 0, 0, 0, 0.000721579, 3.124e-06, 0.000728411, 
2.782e-06, 0, 0, 0, 0.000504876, 2.268e-06, 0.00051039, 
2.228e-06, 0, 0, 0, 0.000452811, 1.26e-06, 0.00045656, 
2.693e-06, 0, 0, 0, 0.000339039, 1.809e-06, 0.000344129, 
2.339e-06, 0, 0, 0, 0.000418078, 1.527e-06, 0.000422137, 
1.827e-06, 0.0166145, 0, 0, 0.000313004, 1.386e-06, 0.000316436, 
3.16e-06, 0, 0, 0, 0.000363303, 2.696e-06, 0.000369419, 
2.428e-06, 0, 0, 0, 0.000483351, 1.558e-06, 0.000487639, 
2.952e-06, 0, 0, 0, 0.000627786, 2.0392e-05, 0.000651776, 
1.987e-06, 0, 0, 0, 0.000339921, 1.643e-06, 0.000343843, 
1.443e-06, 0, 0, 0, 0.000324351, 1.079e-06, 0.000327056, 
1.863e-06, 0, 0, 0, 0.000454188, 1.447e-06, 0.000457757, 
2.715e-06, 0, 0, 0, 0.000340655, 1.33e-06, 0.000344916, 
1.964e-06, 0.0073887, 0, 0, 0.000330387, 1.493e-06, 0.000334156, 
8.42e-06, 0, 0, 0, 0.000338027, 1.391e-06, 0.000348006, 
1.55e-06, 0, 0, 0, 0.000329659, 2.661e-06, 0.000334121, 
2.95e-06, 0, 0, 0, 0.000497744, 3.17e-06, 0.000504303, 
