Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.113592, 0.00269596, 0.104336, 0.0764017, 7283, 64817, 8.01837e+06
0.0595785, 0.00353474, 0.056043, 0.0409911, 7706, 67895, 4.40242e+06
0.0548056, 0.00256015, 0.0522447, 0.0382985, 7679, 67010, 3.09419e+06
0.0266782, 0.00296529, 0.023712, 0.0163458, 7315, 64719, 2.07095e+06
0.0205153, 0.00273895, 0.0177756, 0.011889, 7749, 68818, 1.57182e+06
0.016555, 0.00276572, 0.0137884, 0.00889197, 7671, 67959, 1.10651e+06
0.0145251, 0.00248966, 0.0120344, 0.00768013, 7741, 68297, 953127
0.0130907, 0.0028311, 0.0102585, 0.006317, 7747, 67969, 763953
0.0170896, 0.00479756, 0.0122911, 0.00695604, 7735, 67417, 500487
0.00942239, 0.00273592, 0.0066856, 0.00372034, 7793, 67949, 451779
0.00809395, 0.00263847, 0.00545421, 0.00281117, 7640, 67197, 328533
0.00976812, 0.00271872, 0.00704861, 0.00352762, 7577, 66666, 301104
0.00793984, 0.00256621, 0.00537279, 0.0025614, 7448, 66195, 278226
0.00677663, 0.00247, 0.00430541, 0.00204471, 7622, 66484, 230994
0.0060679, 0.00244811, 0.00361891, 0.00158238, 7536, 66024, 176751
0.00617635, 0.00252028, 0.00365503, 0.00153214, 7740, 68346, 169371
0.00663525, 0.00346593, 0.00316823, 0.00122472, 7270, 64600, 126690
0.00515369, 0.0023002, 0.00285254, 0.00103944, 7060, 62365, 104673
0.00722827, 0.0042167, 0.0030093, 0.00109977, 7898, 68543, 110208
0.00547483, 0.00264881, 0.00282492, 0.000972863, 7838, 68810, 98523
0.00592073, 0.00325379, 0.0026654, 0.000824085, 7524, 67698, 84255
0.00538255, 0.00234227, 0.00303961, 0.000828837, 7192, 63996, 58917
0.00513986, 0.00261578, 0.00252332, 0.00078984, 7677, 67058, 79458
0.00525089, 0.00251377, 0.00273634, 0.000876619, 7687, 68311, 83148
0.00708274, 0.00254232, 0.00453964, 0.00183738, 7521, 66441, 159285
0.00713159, 0.00232282, 0.00480793, 0.00236887, 7040, 62685, 267033
0.00928241, 0.00292163, 0.00635997, 0.0032939, 7750, 68636, 367278
0.00974065, 0.00311652, 0.0066233, 0.00361559, 7929, 69791, 406884
0.0162888, 0.00435423, 0.011933, 0.00652876, 7630, 67775, 433083
0.00946416, 0.00263119, 0.00683221, 0.0038488, 7650, 67472, 474042
0.00976725, 0.00249159, 0.00727494, 0.00409975, 7772, 69228, 493968
0.00904252, 0.00248639, 0.00655546, 0.00360208, 7691, 69269, 432960
0.00921136, 0.00245961, 0.00675085, 0.00353844, 7548, 67231, 370599
0.00844403, 0.00244412, 0.00599907, 0.00315976, 7406, 65918, 355347
